"path","asset_type","size_bytes","modified_time","sha256","likely_purpose","associated_experiment","scientific_relevance","current_usability","validation_status","problems_detected"
"checkpoints/epoch_062.pt","checkpoint","261424810","2026-07-22T03:29:31.2778408Z","9452d6125951923f4ebe073dc2bc6cdbd808e9c94b146218192292dbed393a28","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_063.pt","checkpoint","261424810","2026-07-22T03:43:02.1982438Z","891437e5b2e7b9fd9bc948d3ffcc6eab3e710c8fc1d53ca7e52cb2b7cf879fb9","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_064.pt","checkpoint","261424810","2026-07-22T03:56:36.3175871Z","f3405d42692c628014c4a9b0f756d25016b83f7dffe0b7d629809214aff598b9","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_065.pt","checkpoint","261424810","2026-07-22T04:10:07.8067427Z","e18eeca34eb18425b4302e93985098989a09c8a381e824fb196c90471d33174f","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_066.pt","checkpoint","261424810","2026-07-22T04:23:43.8260585Z","1d4b7393557b12c36ea8b4f52aacb053ce3d87878c334aaf4ab010bcf7f25c74","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_067.pt","checkpoint","261424810","2026-07-22T04:37:14.1709389Z","148e762ba570fc0f7f79c6e3c71ac33b83224246b58534cd3a26423f95bc0adb","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_068.pt","checkpoint","261424810","2026-07-22T04:50:42.8880528Z","f1c27a0d3b4aae8f521a8ff2c2635bed9afced62db6347c9a27b70cc693c5afd","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_069.pt","checkpoint","261424810","2026-07-22T05:04:11.6290350Z","1dad6d601b64b317307794e2e3337a2e297b255fa05ef5a7e0a41e33dbe5ba4c","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_070.pt","checkpoint","261424810","2026-07-22T05:17:54.3508957Z","1a56e27d17ebb66417e714fcc7c21f3500af49446f8d1b26c8314a4cbc00a36b","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_071.pt","checkpoint","261424810","2026-07-22T05:31:28.4531555Z","9e2c089eab9aca5979ce516ec65b7f04890db8a9bd97cbf4be131e03e9d59a55","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_072.pt","checkpoint","261424810","2026-07-22T05:44:59.3662215Z","ec759c41a0f9aeac8123990aa79f3faf746449274b932ce57a2d8149ffcd2a1f","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_073.pt","checkpoint","261424810","2026-07-22T05:58:33.5256101Z","7c65692cebdec5f498394f170d681c5de6a94771c42763143ce3408108ee33df","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_074.pt","checkpoint","261424810","2026-07-22T06:12:04.3765065Z","3acef8b02cde6bf5435a279449c9331073e16b2517a0d126675148f106b312d7","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_075.pt","checkpoint","261424810","2026-07-22T06:25:37.5242758Z","108a6051d92719d67e9281be73f40635ae68768a733739ea788f518fe3457c2a","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_076.pt","checkpoint","261424810","2026-07-22T06:39:06.7165835Z","4bdf22dc9571912316550648659b4a0bd7fa710e3242866a43aac4196dd6ecce","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_077.pt","checkpoint","261424810","2026-07-22T06:52:41.4622641Z","35a805d8b4bb5f64d4c0bf6fec615a0b451a4d1566db763acb7f1d6e3eaa2e56","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_078.pt","checkpoint","261424810","2026-07-22T07:06:16.1685942Z","95cdd117e8c78de14a4e9ff4eb9a5afb8df8e88635e319c7824f8e72d8ac864b","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_079.pt","checkpoint","261424810","2026-07-22T07:19:50.9005752Z","8326c804e594bea2e57ae14a0a57e3b6a5ae3142484ae137e847cd84c4187a46","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_080.pt","checkpoint","261424810","2026-07-22T07:37:47.6301403Z","64b551c74cc8860813fcd15af8eeb682e50fd4e7ace5a93a26f15579230766eb","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_081.pt","checkpoint","261424810","2026-07-22T08:05:49.1972233Z","26ca7d83a69ef2b1f176dd2a344162244c6e870ebb4d36848f787fda3025e55c","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_082.pt","checkpoint","261424810","2026-07-22T08:33:38.3573988Z","f6b13f49b632bc847e4cb415343e3a69c2c8a15a1cf5e44d1d392a980d442a7d","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_083.pt","checkpoint","261424810","2026-07-22T09:01:44.9199572Z","cd9bddf7e48c6f8d51fa51925082cd46b805c3f778f3dc083f291344204331c0","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_084.pt","checkpoint","261424810","2026-07-22T09:29:26.9086141Z","998f1852b7bcf7386b4b481e03553d79f2d7e73f6116232b207491dae3b02890","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_085.pt","checkpoint","261424810","2026-07-22T09:57:20.5234520Z","dda45e80385ee816ae80e73fa6f9b81008d8cfafc9dd0e6934d946850dcb008a","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_086.pt","checkpoint","261424810","2026-07-22T10:25:12.9507794Z","da602557b4d0031ca4576daf0cfb346c3ca2b23a53b8d0e9abbcc76f8e96fb33","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_087.pt","checkpoint","261424810","2026-07-22T10:53:05.5572790Z","1ff8617efeb0911acbca64784088f71ea3a8d9ecec45f1b713e78e09ba53a988","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_088.pt","checkpoint","261424810","2026-07-22T11:21:06.2675940Z","1e43336bae80523b2b88795d0d91958901bae7d0abdf7eded13ce0d3c8dd8e4e","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_089.pt","checkpoint","261424810","2026-07-22T11:49:20.8702344Z","5a0d764f57959031c10204e5221a97c904e1cce23402686489cc5d82571d7042","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_090.pt","checkpoint","261424810","2026-07-22T12:15:09.4507542Z","a4b8a64b5b4c8f62f7865dd5764c400af83b36786b10c8487580340c02f1ea08","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_091.pt","checkpoint","261424810","2026-07-22T12:36:28.2720114Z","a6ee17578d4f48c48c46d630502b42dbd59a21460d550e8e096e51d09a9d5ba3","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_092.pt","checkpoint","261424810","2026-07-22T12:59:50.8837238Z","7c9f8c4499e32a5feaa74086a681e35fa75b2eab55431076dd96e4249d01f2cd","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_093.pt","checkpoint","261424810","2026-07-22T13:27:52.7280869Z","c466d7792c31f6269ff2efecc6406dc56432f6d16593b5b40eefcf2244ec4f4a","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_094.pt","checkpoint","261424810","2026-07-22T13:55:42.7352397Z","2c76897363661f08a66c0c90278f96a5033b19958637a12b321215a92b403cb3","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_095.pt","checkpoint","261424810","2026-07-22T14:24:02.7646060Z","cc5933e48a6aea7335ad52b5c8ccd82ba3be81c4351c781a7108be21198a2d95","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_096.pt","checkpoint","261424810","2026-07-22T14:52:03.7055756Z","c51b951f9cb464bcd32c2ceb76ae1591495c933fbcdfdd19e5bc8b0c40bdbbcc","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_097.pt","checkpoint","261424810","2026-07-22T15:20:15.0036524Z","2f5b085d9a2dfaee26afe993f397962565789f36d4750374b0a4fd1e069507fe","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_098.pt","checkpoint","261424810","2026-07-22T15:48:41.0721362Z","2232ad45059c11726cdf508a12e4d8e998c9fc47dd8ffd68b15a935c043be6c0","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_099.pt","checkpoint","261424810","2026-07-22T16:16:37.1291185Z","61ef9e2d6dbb88c18425ff0f5c27f7ff76b1e83b327b0b6d590d3a00191b55e0","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/epoch_100.pt","checkpoint","261424810","2026-07-22T16:44:34.7569005Z","c75196d61f21347479c1e72c78e4d6856bfc92857210911c812a4f6ecfc3020b","EXP-CHAAD-001 epoch checkpoint","EXP-CHAAD-001","Training-history evidence","Archive only","PROVISIONALLY USABLE","Not an independent experiment"
"checkpoints/eval_report.json","checkpoint","546","2026-07-20T09:46:10.4570928Z","6d75ccc813aacacacecf4407746604d55bf06ae10b9e3fdc0aea6b9e70902790","Repository asset","EXP-CHAAD-001","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/pre_validation_backup/eval_report.json; checkpoints/eval_report.json"
"cleanup.py","source_code","3015","2026-07-20T09:46:10.4598688Z","93729ec0e622f600366c1d17620c7d5e49f2af59036735e6d8da77672faea383","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"config.py","source_code","5973","2026-07-23T04:25:44.1893687Z","b539b96a694f4ee4a06e3b1de628bc101548dcfbf72eb2ebafbbc3c0e5100651","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"configs/audit_config.yaml","configuration_or_environment","1279","2026-07-21T06:28:55.7639182Z","212d916a0face5a07e9dd0901c73789f78cc99904de20b30c66b78bd674a2c16","Configuration/environment specification","","Reproducibility support","Freeze afresh for future runs","PROVISIONALLY USABLE",""
"data/__init__.py","source_code","20","2026-07-20T09:46:10.4769753Z","9990a655da99fbf2121197f9bef0e88194d54a8b6a1586de1e66b505ac058af4","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"data/__pycache__/__init__.cpython-310.pyc","other","120","2026-07-20T10:16:11.3261816Z","df709fbaa705aebf58605ac45043c5464d13014044b5162058c678ab2f2fbf7b","Temporary or cache output","","None","Exclude from publication","STALE",""
"data/__pycache__/__init__.cpython-311.pyc","other","136","2026-07-20T11:39:01.6837127Z","87d8ccfeacbdb67cabef69319d534dbcf390e816359444368d263bb04016eb5d","Temporary or cache output","","None","Exclude from publication","STALE",""
"data/__pycache__/dataset.cpython-310.pyc","other","8704","2026-07-24T06:00:57.1978759Z","688ff9108a5408760f2589e0255c334b87c9799b3f408131f0621758052d5c48","Temporary or cache output","","None","Exclude from publication","STALE",""
"data/__pycache__/dataset.cpython-311.pyc","other","12236","2026-07-21T11:17:43.1192521Z","64e7d0e2b9dbb906b5c9c44135924fb85e4927d3f17996956d544c9b3a5f5422","Temporary or cache output","","None","Exclude from publication","STALE",""
"data/dataset.py","source_code","11305","2026-07-24T05:04:30.2820482Z","855fa6e4c6f5fb3862cb35790bc61fef4870449b591d3cb3e4cadd32e29b8bac","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"deploy.py","source_code","9608","2026-07-20T09:46:10.4778037Z","aaee80e1d2507e7336fcad183b8a035f56237e6708a60ef89e96d13232959106","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"docker-compose.yml","configuration_or_environment","1625","2026-07-20T09:46:10.4778037Z","0f62b8e140a865519e0e6108960fe24e8c4566f98ad7df37679decf52ef13c55","Configuration/environment specification","","Reproducibility support","Freeze afresh for future runs","PROVISIONALLY USABLE",""
"Dockerfile","configuration_or_environment","3088","2026-07-20T09:46:10.3986388Z","9931436002ac0305eb932877d60797372145ec711d5d78d5ab1e74bda0c5040e","Configuration/environment specification","","Reproducibility support","Freeze afresh for future runs","PROVISIONALLY USABLE",""
"docs/ACTIVE_SPLIT_CONSUMERS.md","narrative_or_log","2950","2026-07-20T11:39:27.2295411Z","2ea251c6fce45d09b0255e9150f6467defda925c09cc8aa2948cfce6f302f928","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/AI_CONTEXT_INDEX.md","narrative_or_log","5854","2026-07-24T06:11:49.7423193Z","2111a95d1197f9c1236bcc5688c244bf6efa4e81b007bbf2e630d0ea69008362","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/ARCHITECTURE.md","narrative_or_log","2768","2026-07-20T10:48:06.3119766Z","e42263ca2336e0412db4c2283605ae1905e10334f9ee0914118105416445a4da","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/BASELINE_DIAGNOSTIC_REPORT.md","narrative_or_log","4872","2026-07-23T04:23:27.1914553Z","cda185ef5595ab1bc0e413de05beb2605cdcd590f2b4e1a16537dc3e1120a19e","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CALIBRATION_PROTOCOL.md","narrative_or_log","549","2026-07-21T06:28:55.7721098Z","98665b8ed30c27b8e4c9261459d3f3c2afeca533b1e73d5fa2fd90c90e6a2605","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CALIBRATION_SPLIT_POLICY.md","narrative_or_log","617","2026-07-20T11:39:34.9625093Z","748195d8046af4dd6a40a07a650375dea2c2eda7482fbca8280f040ff4be5c8b","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CHAAD_IMPROVEMENT_PLAN.md","narrative_or_log","9070","2026-07-23T04:23:49.3336231Z","aef9815d9ae67e01d384ec6dc38c882072f52447b8d2b1605e0387be5ea45a2d","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CHANGELOG.md","narrative_or_log","11975","2026-07-27T06:36:46.5002203Z","f544434f7f3c7b64dbab712c503289840d678aafac933c4134d6bac441f45ca2","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/CLI_REFERENCE.md","narrative_or_log","210","2026-07-24T09:38:01.3931379Z","d496f87ab631185de07714c907243eb5d7b6d7d4bd0505f4302c2c8f6eb2d71c","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/COMMAND_MATRIX.csv","machine_readable_report_or_registry","3013","2026-07-24T09:49:41.6572613Z","54533912c6856c9c82b519bea1c31225d584fc4d8c113f20871e4ee9cb60c235","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/CONFIGURATION.md","narrative_or_log","165","2026-07-24T09:38:04.4379527Z","78cd07f40150900c49e62579465a3287339dfba8ad460a7690da9b323d3dbce7","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/EXIT_CODES.md","narrative_or_log","198","2026-07-24T09:38:02.9268355Z","48a423a7470337ee51b1726d12931410da95bcb72dc14682f8d87b3048d5a8e6","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/JSON_OUTPUT_SCHEMA.md","narrative_or_log","174","2026-07-24T09:38:03.6713292Z","95f45e522bef187c8f6d00ab301dd83dc8358667620b48e45eec72f2f026647f","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/QUICKSTART.md","narrative_or_log","170","2026-07-24T09:38:02.1673833Z","f40c4d29a92a020808652843c949bb60cd083176ec10df60288cdc6e244d6f4a","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/SECURITY.md","narrative_or_log","382","2026-07-24T09:49:44.8128340Z","9bbd7d3a4eef4f4ac4d8ee1f4421a01c082ae3ce8f32872b85909f399552e087","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/cli/TROUBLESHOOTING.md","narrative_or_log","174","2026-07-24T09:38:05.9512568Z","234c18e1cdf64c89f640740f656296752fa09cd49406cf62e109609e9e15130a","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/CROSS_REGISTRY_REFERENCES.md","narrative_or_log","168","2026-07-24T09:37:56.0479198Z","ea11cec6cf4c55e4d9f75591af9a23dccc1ea7f8a843487496f21ad151102027","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/DRY_RUN_BEHAVIOUR.md","narrative_or_log","245","2026-07-24T09:36:40.0842944Z","ea073e30385f3111b82dd12ea7ea3d0ed41e5970653dfb49583c92ce92bc5ebf","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/ERROR_REFERENCE.md","narrative_or_log","342","2026-07-24T09:36:39.2637263Z","cbf6e3fdf36054793a3dcf605f644ee0e94c4015d5dbb2c39cc88f6fad1d6f56","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/EVIDENCE_ENGINE_IMPLEMENTATION.md","narrative_or_log","178","2026-07-24T09:37:43.9309635Z","bd884895cfa6328a5e3d694a9167fa0d3e059d3eedeb6ec7225e4c2aa5014f7d","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/EVIDENCE_ERROR_REFERENCE.md","narrative_or_log","236","2026-07-24T09:37:48.5217482Z","ec76b99a68769e3186d1d1ae6068eacc6c97574a8564a8c9fb430e441440696d","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/EVIDENCE_LIFECYCLE.md","narrative_or_log","187","2026-07-24T09:37:44.6980294Z","c7b08cf1391d5486c0e1df10cc50f17f0e38cdec14c2b9147c3f7930b1c5dbd6","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/GATE_EVIDENCE_EVALUATION.md","narrative_or_log","185","2026-07-24T09:37:47.7479873Z","81cd56bd3eb408d959c682918a03d0784306edb51b4ed6873a53261c177ef4df","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/PROVENANCE_AND_LINEAGE.md","narrative_or_log","236","2026-07-24T09:37:45.4780621Z","1ec7db66ccb479784d993954b3d4e13ed3dc9ab1b024a2a0348fd33e3a7c4568","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_ARCHITECTURE.md","narrative_or_log","152","2026-07-24T09:37:52.3010283Z","8299fb468be9bb278ceb97766bdd79f7e31c7aa906c0944333514c09913320d0","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_ERROR_REFERENCE.md","narrative_or_log","238","2026-07-24T09:37:56.8010823Z","dad424629949af3e62c4227a957120891e22d8a3b38f12137d1f6fb3d6d48026","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_IMPORT_EXPORT.md","narrative_or_log","190","2026-07-24T09:37:55.2994064Z","0e6f7da7ade15efdc0e365fed7c39c3e1456a617b302b3bb4dbb7dd09bb86539","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_INTEGRITY.md","narrative_or_log","176","2026-07-24T09:37:54.5568327Z","0c483a781ec3f09887e1e529a5647fef26afecea0810bc53c38ef57b13431350","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_RECORD_CONTRACT.md","narrative_or_log","192","2026-07-24T09:37:53.0540902Z","33a67d71a78b71c3fc496d25d060c2a4c983127c6183b74134f1d05ed0f76017","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/REGISTRY_VERSIONING.md","narrative_or_log","164","2026-07-24T09:37:53.8002862Z","aacc314eb9075765a6ae68de17f52a26e0494c5ccdcaa1c003149bc729595e68","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/STATE_MACHINE_REFERENCE.md","narrative_or_log","330","2026-07-24T09:36:36.8314752Z","97c3b8fc10839584517792b1320092e09566605d9d6d7824aa91a7c42ce68d62","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/TAMPER_DETECTION.md","narrative_or_log","138","2026-07-24T09:37:46.9757291Z","4af398ef1a2a1af0b0a96a031cba7be7f060f0a03ecffde5001593732ce5de61","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/TRANSITION_RULES.md","narrative_or_log","322","2026-07-24T09:36:38.4830875Z","d8ee095d4a30530fd66421cf9b4c4e53f5f6d2d5fea4b125b07ab0c9e90b750b","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/VERIFIER_CONTRACT.md","narrative_or_log","169","2026-07-24T09:37:46.2143792Z","3a784a34b7adcde0a7ccbcde2f73da27fc15ad122905911ee95f779863f57779","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/WORKFLOW_DEFINITION_GUIDE.md","narrative_or_log","336","2026-07-24T09:36:37.6654124Z","399a7cd759a527bbabe4697b669a3ff32bacae99f25f010223e060338bdb2341","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/core/WORKFLOW_ENGINE_IMPLEMENTATION.md","narrative_or_log","309","2026-07-24T09:36:36.0078920Z","828de7f69d1281fb3a37d05a1082a6d41a3044d750661f189b8fe90cf150d86f","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CURRENT_EXPERIMENT_AUDIT.md","narrative_or_log","9470","2026-07-20T09:52:16.4595242Z","3a9f1427699c6027645b391b4a9719d5e09431703390c5103154980c858a4164","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/CURRENT_STATE.md","narrative_or_log","10597","2026-07-24T12:16:14.5972813Z","d84682a25476b3e69aaa725c2024d7c5477114384d5620b4844707509a367568","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/DATA_FLOW.md","narrative_or_log","2469","2026-07-20T10:48:06.3192227Z","3fb784174b27724baa9586e72c14d219d574b07c9a9a48b634a13f9b3a7e230b","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"docs/DATA_INTEGRITY_REPORT.md","narrative_or_log","1436","2026-07-21T06:28:55.7750603Z","e4f39293aae1949cdf21ded6fba4c36308bc69567bbf976e7a30d17abafccf6b","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
